Time (s),OMP_NUM_THREADS,Matrix Size,Method
30.158149553928524,1,15000,general
28.309348213020712,1,15000,hermitian
28.282732740975916,1,15000,symmetric
0.3361576448660344,1,15000,triangular
17.640469868201762,2,15000,general
19.253685069968924,2,15000,hermitian
18.88313686195761,2,15000,symmetric
0.3235769439488649,2,15000,triangular
11.812933851964772,4,15000,general
13.75956934900023,4,15000,hermitian
14.070694857044144,4,15000,symmetric
0.3057142049074173,4,15000,triangular
8.803325420012698,8,15000,general
12.281604755902665,8,15000,hermitian
12.606164371827616,8,15000,symmetric
0.2921913871541619,8,15000,triangular
6.806372693972662,16,15000,general
13.234244226943702,16,15000,hermitian
13.622546269092709,16,15000,symmetric
0.29338345397263765,16,15000,triangular
